1,Student_1,Data Analytics,student_1@edu.ru
2,Student_2,Information Systems,student_2@edu.ru
3,Student_3,Computer Science,student_3@edu.ru
4,Student_4,Data Analytics,student_4@edu.ru
5,Student_5,Information Systems,student_5@edu.ru
6,Student_6,Computer Science,student_6@edu.ru
7,Student_7,Data Analytics,student_7@edu.ru
8,Student_8,Information Systems,student_8@edu.ru
9,Student_9,Computer Science,student_9@edu.ru
10,Student_10,Data Analytics,student_10@edu.ru
11,Student_11,Information Systems,student_11@edu.ru
12,Student_12,Computer Science,student_12@edu.ru
13,Student_13,Data Analytics,student_13@edu.ru
14,Student_14,Information Systems,student_14@edu.ru
15,Student_15,Computer Science,student_15@edu.ru
16,Student_16,Data Analytics,student_16@edu.ru
17,Student_17,Information Systems,student_17@edu.ru
18,Student_18,Computer Science,student_18@edu.ru
19,Student_19,Data Analytics,student_19@edu.ru
20,Student_20,Information Systems,student_20@edu.ru
21,Student_21,Computer Science,student_21@edu.ru
22,Student_22,Data Analytics,student_22@edu.ru
23,Student_23,Information Systems,student_23@edu.ru
24,Student_24,Computer Science,student_24@edu.ru
25,Student_25,Data Analytics,student_25@edu.ru
26,Student_26,Information Systems,student_26@edu.ru
27,Student_27,Computer Science,student_27@edu.ru
28,Student_28,Data Analytics,student_28@edu.ru
29,Student_29,Information Systems,student_29@edu.ru
30,Student_30,Computer Science,student_30@edu.ru
31,Student_31,Data Analytics,student_31@edu.ru
32,Student_32,Information Systems,student_32@edu.ru
33,Student_33,Computer Science,student_33@edu.ru
34,Student_34,Data Analytics,student_34@edu.ru
35,Student_35,Information Systems,student_35@edu.ru
36,Student_36,Computer Science,student_36@edu.ru
37,Student_37,Data Analytics,student_37@edu.ru
38,Student_38,Information Systems,student_38@edu.ru
39,Student_39,Computer Science,student_39@edu.ru
40,Student_40,Data Analytics,student_40@edu.ru
41,Student_41,Information Systems,student_41@edu.ru
42,Student_42,Computer Science,student_42@edu.ru
43,Student_43,Data Analytics,student_43@edu.ru
44,Student_44,Information Systems,student_44@edu.ru
45,Student_45,Computer Science,student_45@edu.ru
46,Student_46,Data Analytics,student_46@edu.ru
47,Student_47,Information Systems,student_47@edu.ru
48,Student_48,Computer Science,student_48@edu.ru
49,Student_49,Data Analytics,student_49@edu.ru
50,Student_50,Information Systems,student_50@edu.ru
51,Student_51,Computer Science,student_51@edu.ru
52,Student_52,Data Analytics,student_52@edu.ru
53,Student_53,Information Systems,student_53@edu.ru
54,Student_54,Computer Science,student_54@edu.ru
55,Student_55,Data Analytics,student_55@edu.ru
56,Student_56,Information Systems,student_56@edu.ru
57,Student_57,Computer Science,student_57@edu.ru
58,Student_58,Data Analytics,student_58@edu.ru
59,Student_59,Information Systems,student_59@edu.ru
60,Student_60,Computer Science,student_60@edu.ru
61,Student_61,Data Analytics,student_61@edu.ru
62,Student_62,Information Systems,student_62@edu.ru
63,Student_63,Computer Science,student_63@edu.ru
64,Student_64,Data Analytics,student_64@edu.ru
65,Student_65,Information Systems,student_65@edu.ru
66,Student_66,Computer Science,student_66@edu.ru
67,Student_67,Data Analytics,student_67@edu.ru
68,Student_68,Information Systems,student_68@edu.ru
69,Student_69,Computer Science,student_69@edu.ru
70,Student_70,Data Analytics,student_70@edu.ru
71,Student_71,Information Systems,student_71@edu.ru
72,Student_72,Computer Science,student_72@edu.ru
73,Student_73,Data Analytics,student_73@edu.ru
74,Student_74,Information Systems,student_74@edu.ru
